x,y,z,cluster
0,0,0,-1
-5.05777,-4.13271,0.242809,1
-5.03552,-4.08883,0.241137,2
-5.12581,-4.13611,0.244852,3
-5.07922,-4.07286,0.242029,4
-5.13233,-4.08964,0.243961,5
-5.1284,-4.06084,0.243181,6
-5.01345,-3.96683,0.00435158,7
-5.14241,-4.04633,0.243255,8
-5.09163,-4.00335,0.00440875,9
-5.14142,-4.02007,0.242623,10
-5.10389,-3.98771,0.00440875,11
-5.17109,-4.01776,0.243441,12
-5.08687,-3.94934,0.00438357,13
-5.15728,-3.98173,0.242215,14
-5.13776,-3.96365,0.00441692,15
-5.17027,-3.96649,0.242252,16
-5.11022,-3.91745,0.00438289,17
-5.27063,-4.01786,0.246376,18
-5.08005,-3.86964,0.00434681,19
-5.27656,-3.99684,0.246078,20
-5.01042,-4.08959,0.178395,21
-5.2115,-3.94456,0.00444891,22
-5.27442,-3.96982,0.24541,23
-5.04235,-4.08994,0.179085,24
-5.21558,-3.92254,0.00444211,25
-5.11079,-3.84038,-0.229947,26
-5.26897,-3.94045,0.244592,27
-5.05332,-4.0732,0.17903,28
-5.19715,-3.88377,0.00441624,29
-5.13536,-3.83425,-0.230522,30
-5.28344,-3.92606,0.244704,31
-5.06423,-4.05643,0.178974,32
-5.20503,-3.86483,0.00441284,33
-5.13025,-3.80597,-0.229767,34
-5.21829,-3.85285,0.241137,35
-5.08917,-4.05083,0.179416,36
-5.21686,-3.84884,0.00441284,37
-5.19258,-3.82757,-0.232032,38
-5.29212,-3.88233,0.243998,39
-5.1102,-4.04202,0.179719,40
-5.24558,-3.84524,0.00442713,41
-5.21075,-3.81635,-0.232319,42
-5.27171,-3.84254,0.242512,43
-5.121,-4.02509,0.179664,44
-5.24604,-3.82088,0.0044176,45
-5.22647,-3.80328,-0.232499,46
-5.2948,-3.83455,0.243032,47
-5.1349,-4.01059,0.179719,48
-5.23181,-3.78601,0.00439582,49
-5.24136,-3.78957,-0.232643,50
-5.31871,-3.82704,0.243589,51
-5.11875,-3.97275,0.178726,52
-5.23853,-3.76644,0.00439174,53
-5.06128,-3.92645,-0.0574674,54
