x,y,z,cluster
-5.9183,-5.79878,2.43483,2
-6.1668,-5.60419,2.19852,2
-6.17914,-5.57717,2.54422,2
-5.92163,-5.76654,2.42891,2
-5.83915,-6.13295,2.39767,2
-6.27366,-5.66626,2.23041,2
-6.19764,-5.55946,2.54481,2
-5.94412,-5.75301,2.43088,2
-5.82,-6.0754,2.38214,2
-6.28238,-5.63923,2.22735,2
-6.24465,-5.56715,2.55708,2
-5.92924,-5.70349,2.41763,2
-5.88602,-6.10671,2.40148,2
-5.82922,-5.20026,2.06102,2
-5.84688,-5.21913,1.75719,2
-6.22663,-5.51689,2.54276,2
-5.96821,-5.70582,2.42637,2
-5.86722,-6.04994,2.38623,2
-5.8654,-5.20031,2.06816,2
-5.88257,-5.21865,1.76309,2
-6.2184,-5.47564,2.53253,2
-6.00168,-5.70269,2.43286,2
-5.92002,-6.06703,2.40012,2
-5.88568,-5.18613,2.06969,2
-5.92198,-5.22123,1.7701,2
-6.23661,-5.4578,2.53311,2
-5.99753,-5.66383,2.42412,2
-5.91029,-6.02,2.38868,2
-5.95998,-5.22233,1.77666,2
-6.28003,-5.46186,2.54393,2
-6.01697,-5.64737,2.42496,2
-5.91183,-5.98473,2.38187,2
-6.33532,-5.51364,2.21587,2
-5.99879,-5.22388,1.78344,2
-6.14048,-5.30749,2.48079,2
-6.03778,-5.63216,2.42637,2
-5.93695,-5.97339,2.38459,2
-6.43411,-5.56502,2.24444,2
-6.33337,-5.90789,2.19127,2
-6.03028,-5.21886,1.78804,2
-6.05081,-5.60969,2.42468,2
-5.96137,-5.96127,2.38704,2
-6.28606,-5.82779,2.16871,2
-6.05588,-5.20861,1.79088,2
-6.05529,-5.5794,2.41961,2
-5.96325,-5.92668,2.38051,2
-6.30605,-5.81045,2.16944,2
-6.07999,-5.19698,1.79329,2
-6.06436,-5.14495,2.43081,2
-6.1113,-5.59643,2.43511,2
-5.92322,-5.85088,2.35735,2
-6.0686,-5.152,2.10031,2
-6.30382,-5.77274,2.16258,2
-6.08698,-5.17072,1.79066,2
-6.06988,-5.11769,2.42672,2
-6.15966,-5.60607,2.44752,2
-5.93771,-5.82931,2.35599,2
-6.31864,-5.75076,2.1616,2
-6.17896,-5.58908,2.44836,2
-5.9535,-5.80905,2.35517,2
-5.84475,-6.1467,2.31435,2
-6.13788,-5.14635,2.11332,2
-6.34056,-5.73525,2.16307,2
-6.05855,-5.04486,2.40976,2
-6.19394,-5.56817,2.44752,2
-5.92502,-5.74588,2.33692,2
-5.87892,-6.14477,2.3204,2
-5.83832,-5.24848,1.98623,2
-5.98068,-4.98638,1.74581,2
-5.76679,-5.18182,1.65712,2
-6.32303,-5.23232,2.50856,2
-6.21672,-5.55426,2.44977,2
-5.944,-5.72901,2.33746,2
-6.17232,-5.11106,2.11434,2
-5.84644,-5.22344,1.98353,2
-6.08987,-5.04583,1.77316,2
-5.84539,-5.22012,1.6751,2
-6.10752,-5.06099,1.17171,2
-6.04376,-5.00817,0.868216,2
-6.08554,-5.03831,0.582813,2
-6.09406,-5.04214,0.294038,2
-6.24234,-5.5428,2.45316,2
-5.94626,-5.6961,2.33147,2
-6.0474,-6.24371,2.37173,2
-5.87041,-5.21256,1.98623,2
-5.88771,-5.22553,1.68262,2
