x,y,z,cluster
0,0,0,210854236
-17.3423,-14.9175,2.53033,370524880
-17.2701,-14.7635,2.51318,1
-17.4517,-14.8263,2.53296,1
-17.3239,-14.6265,2.5079,1
-17.1486,-14.4657,1.65501,1
-17.2111,-14.441,2.48514,1
-17.1104,-14.3438,1.64706,1
-17.3477,-14.4652,2.49844,1
-17.3606,-14.3859,2.49394,1
-17.3226,-14.2649,2.48217,1
-17.2093,-14.1591,1.64397,1
-17.4499,-14.2786,5.0552,1
-17.2501,-14.1167,2.46557,1
-17.33,-15.262,2.32406,1
-17.0751,-13.961,1.62705,1
-17.4125,-14.1591,4.16519,1
-17.4021,-14.1521,2.48107,1
-17.3738,-15.2061,2.32366,1
-17.0977,-13.8922,1.62514,1
-17.3037,-13.9827,4.12888,1
-17.2653,-13.9531,2.45546,1
-17.1201,-13.8234,1.62322,1
-17.4378,-14.0028,4.15059,1
-17.3212,-13.9106,2.45732,1
-17.1492,-13.7602,1.62197,1
-17.3039,-13.8081,4.10862,1
-17.3785,-13.8692,2.45941,1
-17.1906,-13.7069,1.6219,1
-17.1813,-13.6243,4.06957,1
-17.3237,-13.7386,2.44567,1
-17.4751,-14.92,2.31254,1
-17.1387,-13.5798,1.61307,1
-16.9783,-14.4918,1.43255,1
-17.3485,-13.6719,2.44325,1
-17.2742,-14.6571,2.28,1
-17.0918,-13.4574,1.60476,1
-17.32,-13.5634,2.43336,1
-17.3198,-14.6047,2.2801,1
-17.1259,-13.3994,1.6041,1
-17.4487,-13.5767,4.10315,1
-17.2893,-13.4541,2.42324,1
-17.3623,-14.5496,2.2798,1
-17.1071,-13.3003,1.59851,1
-17.114,-14.3375,1.43281,1
-17.3062,-13.3821,2.41983,1
-17.3885,-14.481,2.27739,1
-17.1502,-13.2496,1.59873,1
-17.0989,-14.2358,1.42787,1
-17.4239,-13.3865,4.92634,1
-17.4081,-14.4301,4.83299,1
-17.344,-13.3265,2.41939,1
-17.2489,-14.2753,2.25336,1
-17.1623,-13.175,1.59608,1
-17.1448,-14.1851,1.42807,1
-17.4494,-13.3211,4.92196,1
-17.4003,-13.2836,4.06282,1
-17.309,-13.2154,2.40884,1
-17.2549,-14.1914,2.24845,1
-17.1225,-13.0612,1.58865,1
-17.0942,-14.0551,1.42025,1
-17.4583,-13.2434,4.91299,1
-17.5003,-13.2767,3.24492,1
-17.2837,-13.1123,2.39971,1
-17.1933,-15.1334,2.09015,1
-17.095,-12.9574,1.58239,1
-17.1179,-13.9869,1.41865,1
-17.3633,-13.0875,4.87493,1
-17.3182,-13.055,3.20371,1
-17.3088,-13.0479,2.39763,1
-17.2088,-13.9773,2.23123,1
-17.1227,-12.8959,1.58129,1
-17.0662,-13.8575,1.41084,1
-17.3908,-13.0249,4.87143,1
-17.5355,-13.1347,3.23645,1
-17.2751,-15.0293,2.93409,1
-17.3296,-12.9804,2.39499,1
-17.131,-12.82,1.57842,1
-17.0939,-13.7932,1.40962,1
-17.3634,-12.9213,4.85261,1
-17.3445,-13.9342,4.75544,1
-17.5115,-13.0315,4.05114,1
-17.5932,-13.0938,3.23966,1
-17.3622,-12.9218,2.394,1
-17.0538,-14.7343,2.05661,1
-17.1471,-12.7501,1.57629,1
-17.1423,-13.7457,1.41013,1
-17.1968,-12.7689,0.0145794,1
-17.4414,-12.8964,4.86333,1
-17.4667,-13.9444,4.77718,1
-17.4636,-12.9129,4.03089,1
-17.3772,-12.8504,3.19261,1
-17.5001,-15.0375,2.95658,1
-17.3562,-12.8348,2.38773,1
-17.0923,-12.6281,1.56768,1
-17.1673,-13.6793,1.40873,1
-17.3013,-12.7742,0.799495,1
-17.2294,-12.7113,0.014574,1
-17.3639,-12.7402,6.58271,1
-17.4163,-12.7875,5.70065,1
-17.4211,-12.799,4.84671,1
-17.2434,-14.7486,4.61973,1
-17.3431,-12.7416,3.99403,1
-17.3623,-12.7572,3.18267,1
-17.349,-12.7474,2.38135,1
-17.0947,-14.5873,2.05071,1
-17.0964,-12.5503,1.56452,1
-17.1614,-13.5888,1.40482,1
-17.2905,-12.6844,0.797191,1
-17.2506,-12.6454,0.014559,1
-17.4563,-12.7257,6.60288,1
-17.3789,-12.6781,5.67565,1
-17.4382,-12.7293,4.84058,1
-17.3623,-12.6739,3.98947,1
-17.399,-12.7021,3.18223,1
-17.3616,-12.6748,2.37773,1
-17.2085,-13.5443,2.20399,1
-17.147,-14.5413,2.05161,1
-17.101,-12.4731,1.56143,1
-17.1615,-13.5034,1.40142,1
-17.0087,-14.4138,1.21915,1
-17.2873,-12.6007,0.79526,1
-17.2974,-12.5983,0.0145658,1
-17.3938,-12.5986,6.56458,1
-17.4279,-12.6321,5.67897,1
-17.4322,-12.6431,4.82811,1
-17.3926,-13.625,4.72242,1
-17.3485,-12.5824,3.97742,1
-17.3786,-12.6057,3.17142,1
-17.3215,-12.5642,2.36695,1
-17.1168,-13.3873,2.18697,1
-17.1763,-14.4758,2.0498,1
-17.1884,-12.4562,1.56591,1
-17.092,-13.364,1.39239,1
-17.0857,-14.3892,1.22149,1
-17.3016,-12.53,0.794145,1
-17.3303,-12.5411,0.0145611,1
-17.5278,-12.6139,6.60054,1
-17.4046,-12.534,5.65881,1
-17.4123,-12.5474,4.81192,1
-17.4158,-13.5572,4.7174,1
-17.3799,-12.524,3.97578,1
-17.3474,-12.502,3.1587,1
-17.3479,-12.5023,2.3653,1
-17.0823,-13.2761,2.17736,1
-17.1801,-14.3891,2.04498,1
-17.1723,-12.3644,1.56099,1
-17.0541,-13.2503,1.38599,1
-17.1159,-14.3252,1.22051,1
-17.3278,-12.4681,0.793588,1
-17.3045,-12.4417,0.0145073,1
-17.4194,-12.4636,5.65116,1
-17.3849,-12.4468,4.79376,1
-17.4256,-13.4791,4.70883,1
-17.3667,-14.4888,4.60477,1
-17.371,-12.4368,3.96502,1
-17.376,-12.4418,3.15695,1
-17.2627,-15.4736,2.74877,1
-17.3829,-12.4467,2.36486,1
-17.1836,-13.2704,2.18507,1
-17.0941,-14.228,2.02953,1
-17.1153,-12.2438,1.55238,1
-17.0323,-13.1497,1.38093,1
-17.1168,-14.2369,1.21745,1
-17.3529,-12.4056,0.792993,1
-17.3361,-12.3839,0.0145019,1
-17.4747,-12.4136,6.55172,1
-17.452,-12.4062,5.64937,1
-17.3983,-12.3758,4.78698,1
-17.2685,-14.3173,4.56706,1
-17.3634,-12.351,3.95461,1
-17.3657,-12.354,3.14818,1
-17.2722,-13.2631,3.00206,1
-17.4048,-12.3818,2.36266,1
-17.1201,-13.1377,2.17185,1
-17.1315,-14.1704,2.0288,1
-17.1844,-12.2137,1.55525,1
-17.0678,-13.0938,1.38055,1
-17.1381,-14.1658,1.21587,1
-17.2687,-12.2655,0.787421,1
-17.3014,-12.2792,0.0144413,1
-17.401,-12.2811,6.50992,1
-17.4007,-12.2896,5.62055,1
-17.347,-12.2593,4.76248,1
-17.4901,-13.3583,4.70402,1
-17.4093,-12.3034,3.95644,1
-17.4565,-13.3288,3.85455,1
-17.3793,-12.2835,3.1438,1
-17.3034,-13.2028,3.00042,1
-17.377,-12.2819,2.35376,1
-17.116,-13.0513,2.16624,1
-17.1418,-14.0906,2.0249,1
-17.005,-15.0407,1.85649,1
-17.0896,-13.0274,1.37907,1
-17.2131,-14.1392,1.21811,1
-17.3193,-12.2217,0.788015,1
-17.3113,-12.2065,0.0144181,1
-17.4879,-12.2622,6.52834,1
-17.4431,-12.2395,5.62208,1
-17.3869,-12.2077,4.76313,1
-17.4118,-13.2141,4.67204,1
-17.3946,-12.2132,3.94458,1
-17.5138,-13.2877,3.85818,1
-17.3821,-12.2057,3.13751,1
-17.3391,-13.1461,2.9996,1
-17.3857,-15.2977,2.74582,1
-17.3853,-12.208,2.3498,1
-17.0774,-12.9393,2.15633,1
-17.1395,-14.0008,2.01954,1
-17.069,-12.9291,1.37421,1
-17.0692,-13.9335,1.20489,1
-17.342,-12.1581,0.787347,1
-17.3642,-12.1642,0.0144311,1
-17.4556,-12.1599,6.50232,1
-17.4258,-12.1477,5.60447,1
-17.3907,-12.1309,4.75395,1
-17.3742,-13.1018,4.65114,1
-17.3737,-14.1367,4.56028,1
-17.4353,-12.162,3.94531,1
-17.5042,-13.196,3.84712,1
-17.4146,-12.1489,3.13664,1
